datetime,open,high,low,close,volume,value,count,ticker,date,time,atr,atrpct
2019-09-13,0.035,0.035,0.035,0.035,14627,511.945,2,ACB,2019-09-13,00:00:00,,
2019-09-16,0.035,0.035,0.035,0.035,10356,362.46,1,ACB,2019-09-16,00:00:00,,
2019-09-17,0.03,0.03,0.03,0.03,12118,363.54,2,ACB,2019-09-17,00:00:00,,
2019-09-18,0.03,0.03,0.03,0.03,110961,3328.83,4,ACB,2019-09-18,00:00:00,,
2019-09-19,0.03,0.03,0.03,0.03,0,0.0,0,ACB,2019-09-19,00:00:00,,
2019-09-20,0.03,0.03,0.03,0.03,130,3.9,1,ACB,2019-09-20,00:00:00,,
2019-09-23,0.03,0.03,0.03,0.03,0,0.0,0,ACB,2019-09-23,00:00:00,,
2019-09-24,0.03,0.03,0.03,0.03,0,0.0,0,ACB,2019-09-24,00:00:00,,
2019-09-25,0.034,0.034,0.03,0.03,1532,51.7816,2,ACB,2019-09-25,00:00:00,,
2019-09-26,0.03,0.03,0.03,0.03,0,0.0,0,ACB,2019-09-26,00:00:00,,
2019-09-27,0.03,0.03,0.03,0.03,0,0.0,0,ACB,2019-09-27,00:00:00,0.0009000000000000008,0.03000000000000003
2019-09-30,0.03,0.03,0.03,0.03,68150,2044.5,2,ACB,2019-09-30,00:00:00,0.0009000000000000008,0.03000000000000003
2019-10-01,0.03,0.03,0.03,0.03,0,0.0,0,ACB,2019-10-01,00:00:00,0.00040000000000000034,0.013333333333333345
2019-10-02,0.03,0.03,0.03,0.03,0,0.0,0,ACB,2019-10-02,00:00:00,0.00040000000000000034,0.013333333333333345
2019-10-03,0.03,0.03,0.03,0.03,0,0.0,0,ACB,2019-10-03,00:00:00,0.00040000000000000034,0.013333333333333345
2019-10-04,0.03,0.03,0.03,0.03,0,0.0,0,ACB,2019-10-04,00:00:00,0.00040000000000000034,0.013333333333333345
2019-10-07,0.03,0.03,0.03,0.03,0,0.0,0,ACB,2019-10-07,00:00:00,0.00040000000000000034,0.013333333333333345
2019-10-08,0.03,0.03,0.03,0.03,0,0.0,0,ACB,2019-10-08,00:00:00,0.00040000000000000034,0.013333333333333345
2019-10-09,0.03,0.03,0.03,0.03,0,0.0,0,ACB,2019-10-09,00:00:00,0.0,0.0
2019-10-10,0.027,0.027,0.027,0.027,42692,1152.684,1,ACB,2019-10-10,00:00:00,0.0002999999999999999,0.011111111111111108
